index,observation,your feeling ,feeling after constructed sandwich
1,airy,open,open
2,charged,tense,tense
3,warm,content,content
4,sharp,alert,alert
5,hazy,uncertain,uncertain
6,heavy,drained,drained
7,bright,hopeful,hopeful
8,calm,steady,steady
9,noisy,overwhelmed,overwhelmed
10,soft,comforted,comforted
11,restless,impatient,impatient
12,grounded,balanced,balanced
13,focused,determined,determined
14,playful,curious,curious
15,flat,numb,numb
16,uneasy,anxious,anxious
17,clear,confident,confident
18,sensitive,tender,tender
19,pressured,stressed,stressed
20,light,relieved,relieved
21,skeptical,distant,distant
22,connected,supported,supported
23,fired-up,energized,energized
24,settled,peaceful,peaceful
25,hungry,hungry,hungry
26,unhealthy,unhealthy,unhealthy
27,happy,happy,happy
28,judged,judged,judged
29,delightful,delightful,delightful
30,satisfied,satisfied,satisfied
